id,numberKind,parentId,counts,bound,excludeReason,sourceLine,notes
microsoft-crusoe-abilene-2-btm-900,btm_gen,,no,exact,status_flip_pending,"By integrating 900 megawatts of new on-site power generation, we will continue building the industrial foundation for American AI - at a velocity the industry has never seen.","btm_gen 900 MW on-site plant (Abilene campus 2 / Microsoft). ANNOUNCED; quote verified. Crusoe 27 Mar 2026 (https://www.crusoe.ai/resources/newsroom/crusoe-announces-new-900-mw-ai-factory-campus-in-abilene-texas-to-support-microsoft-ai-infrastructure): ""The 900MW on-site power plant provides dedicated energy, paired with an MV BESS system"". Construction test NOT met: the only construction line is ""Land clearing and site preparation for the new campus are already underway"", which is campus site prep, not plant construction (Energy GUY 11:26 PT; Hypergrid agrees). counts=no. Live status construction must flip to announced in fix PR (value-changes table). Energized empty. IT row microsoft-crusoe-abilene-2-it-672 unchanged. Kate: ""900 MW of on-site generation announced""."
microsoft-crusoe-abilene-2-it-672,it_capacity,,yes,exact,,672 MW of critical IT load across two halls,Abilene campus 2 critical IT (settled). Separate from Stargate 1.2 GW.
microsoft-fairwater-atlanta-superfactory,it_capacity,,no,exact,mw_null,"Microsoft launched its second Fairwater AI datacenter outside Atlanta, Georgia, a two story facility with hundreds of thousands of Nvidia GB200 and GB300...",Datacenter commitment with null MW. Counts=no.
microsoft-fairwater-mount-pleasant,it_capacity,,no,exact,mw_null,"Microsoft's 3.3 billion dollar Fairwater AI datacenter in Mount Pleasant, Wisconsin, announced in September 2025 on a 315 acre site once intended for...",Datacenter commitment with null MW. Counts=no.
microsoft-fairwater2-wisconsin-expansion,unresolved,,no,exact,,"Microsoft committed a further 4 billion dollars to build a second AI datacenter of similar scale adjacent to Fairwater in Mount Pleasant, Wisconsin, lifting...","capex only, MW null. unresolved. counts=no. Fairwater 2 stays unresolved (Energy GUY condition 9)."
microsoft-fortum-finland-heat-reuse,it_capacity,,no,exact,mw_null,"Microsoft announced a Southern Finland datacenter region in Espoo and Kirkkonummi where waste heat is recycled into Fortum's district heating, described as...",Datacenter commitment with null MW. Counts=no.
microsoft-g42-khazna-uae-200mw,it_capacity,,yes,exact,,"Microsoft and Abu Dhabi based G42 announced a 200 MW UAE data center expansion via G42 subsidiary Khazna, part of Microsoft's broader UAE investment...",UAE 200 MW datacenter expansion.
microsoft-helion-fusion-ppa,offtake_new,,no,at_least,,target of 50 MW or greater,Helion fusion offtake target of at least 50 MW. Bound at_least. Not firm. Contract date: no source. COD: no source.
microsoft-iren-childress-it-200,it_capacity,,yes,exact,,IREN announced on 3 November 2025 a multi-year agreement with Microsoft to deploy NVIDIA GB300 clusters in liquid-cooled halls under construction at...,IREN Childress 200 MW contracted IT (settled).
microsoft-japan-2-9bn-ai-cloud,unresolved,,no,exact,,"Microsoft announced a 2.9 billion dollar investment over two years to expand hyperscale cloud and AI infrastructure in Japan, its largest investment in 46...","capex only, MW null. unresolved. counts=no."
microsoft-nuclear-smr-hiring,unresolved,,no,exact,,"Microsoft began hiring nuclear leadership, including a principal program manager for nuclear technology, to mature and implement a global small modular...","job posting, not a commitment; flagged to David for removal; do not delete. unresolved. counts=no."
microsoft-qcells-12gw-solar,equipment_supply,,no,exact,,12 GW of modules and EPC over eight years,Desk: module and EPC supply alliance. Never counts.
microsoft-qcells-2500mw-solar,equipment_supply,microsoft-qcells-12gw-solar,no,exact,,at least 2.5 GW of panels and EPC for projects Microsoft has already contracted,Desk: included inside the 12 GW Qcells alliance. Double count removed via parentId.
microsoft-uk-25bn-ai-datacenters,unresolved,,no,exact,,"Microsoft committed 2.5 billion pounds over three years to expand UK AI datacenter infrastructure in London and Cardiff, bringing more than 20,000 advanced...","capex only, MW null. unresolved. counts=no."
microsoft-union-city-atlanta-datacenter,it_capacity,,yes,exact,,"Microsoft is investing about 1.8 billion dollars to build a three building data center campus in Union City, southwest of Atlanta, with a total power...",Union City 324 MW campus power.
microsoft-vattenfall-sweden-247-renewable,it_capacity,,no,exact,mw_null,"Microsoft opened its Swedish datacenter region across Gavle, Sandviken and Staffanstorp, using Vattenfall's commercial 24/7 hourly renewable matching from...",Datacenter commitment with null MW. Counts=no.
nebius-highridge-pa-phase-260,it_capacity,,no,exact,,"Nebius describes an owned AI factory at Highridge Business Park in Butler Township, Schuylkill County, Pennsylvania, at Interstate 81 and Gordon Mountain...",Highridge initial 260 MW DC phase. Announced.
nebius-independence-200,utility_load,,no,exact,,IPL to deliver 200MW late Q3 2026.,HOLD. PENDING APPEND. Independence MO utility delivery 200 MW. Announced. Not IT. Not the 1.2 GW design HOLD. Energy GUY: utility_load confirmed. Counts=no.
newera-tcdc-vistra-offtake-207,offtake_existing,,no,exact,,207 MW,TCDC Phase 1 firm contracted utility offtake 207 MW from existing Vistra plant. ppa-signed counts=no. Contract date: no source. COD: no source.
openai-camellia-effingham-demand-3200,utility_load,,no,exact,,"3,200 MW of new demand","Georgia Power contracted demand 3,200 MW (includes up to 1,000 MW DR). Utility load, not IT. ppa-signed counts=no."
openai-ports-pike-it-8000,it_capacity,,no,exact,,8 GW of AI infrastructure capacity,"PORTS-Pike 8,000 IT (settled: 4,250 firm + 3,750 option). Announced so counts=no. Never add SoftBank 9.2 GW gas into this total."
oracle-engie-texas-matching-568,offtake_new,,no,up_to,,more than 500 MW,Renewable matching up to 568 MW. Bound up_to. Contract date: no source. COD: no source.
oracle-rwe-panther-creek-vppa-433,offtake_existing,,no,exact,,"RWE signed a 433 MW virtual power purchase agreement with Oracle on 17 September 2026 for output from the existing Panther Creek I, II, and III wind farms...",Panther Creek existing West Texas wind VPPA 433 MW. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
softbank-portsmouth-ohio-gas-plant,grid_gen_for_dc,,no,at_least,,at least 9.2 GW of gas,DOE at least 9.2 GW gas plan for Pike County campus. Different kind from 8 GW IT. Bound at_least forces counts=no. Announced (counts=no).
stargate-abilene-crusoe-lancium,it_capacity,stargate-project-500b-announcement,no,exact,duplicate,expands AI data center campus in Abilene to 1.2 gigawatts,"Duplicate of crusoe-abilene-stargate-12gw (same campus, same 1.2 GW). Desk: one IT row for Abilene. Status operational overclaims construction."
stargate-dona-ana-new-mexico-oracle,it_capacity,stargate-oracle-4-5gw-partnership,no,exact,,"Dona Ana County, New Mexico is one of three new Oracle-developed Stargate campuses announced in September 2025. The three Oracle sites plus an Abilene...",Stargate Dona Ana site (MW empty). Inside 4.5 GW. Status announced.
stargate-lordstown-ohio-softbank,it_capacity,stargate-project-500b-announcement,no,exact,mw_null,"SoftBank broke ground on an advanced data center design in Lordstown, Ohio, on track to be operational in 2026, doubling as a SoftBank-Foxconn manufacturing...",Stargate Lordstown site (MW empty). Status construction.
stargate-milam-county-sb-energy,it_capacity,stargate-project-500b-announcement,yes,exact,,"SB Energy, SoftBank's power subsidiary, is building and operating an OpenAI Stargate data center in Milam County, Texas with about 1.2 GW (1,200 MW). With...",Stargate Milam County site IT. Status construction.
stargate-oracle-4-5gw-partnership,program,stargate-project-500b-announcement,no,up_to,,up to 4.5 GW,Up to 4.5 GW Oracle partnership ceiling inside Stargate 10 GW. Sites fill this ceiling. Announced (counts=no).
stargate-port-washington-wisconsin-vantage,it_capacity,stargate-oracle-4-5gw-partnership,yes,exact,,"OpenAI, Oracle, and Vantage Data Centers are developing the Lighthouse campus near Milwaukee, a 672-acre, roughly $15 billion site with four data centers...",Stargate Port Washington / Lighthouse campus IT inside 4.5 GW ceiling. Status construction.
stargate-project-500b-announcement,program,,no,exact,,"$500 billion, 10 GW commitment",Desk: Stargate 10 GW program parent. Site and deal rows point here. Announced (counts=no).
stargate-saline-michigan-related,it_capacity,stargate-oracle-4-5gw-partnership,yes,exact,,"OpenAI, Oracle, and Related Digital announced a more than 1 GW (1,000 MW) Stargate data center campus in Saline Township, Michigan, a 250-acre site known as...",Stargate Saline Michigan site IT inside 4.5 GW ceiling. Status construction.
stargate-shackelford-county-oracle,it_capacity,stargate-oracle-4-5gw-partnership,no,exact,,"Among five new Stargate sites announced in September 2025, Shackelford County, Texas is an Oracle-developed campus. The three Oracle sites plus an Abilene...",Stargate Shackelford site (MW empty). Inside 4.5 GW. Status announced.
stargate-uae-abu-dhabi-g42,it_capacity,stargate-project-500b-announcement,yes,exact,,"Stargate UAE is a 1 GW (1,000 MW) AI compute cluster in Abu Dhabi, built by G42 and operated by OpenAI and Oracle, the first international Stargate site and...",Stargate UAE site IT inside 10 GW program. Status construction.
tencent-carbon-neutral-2030,program,,no,exact,,"Tencent committed to carbon neutrality across its operations and supply chain by 2030 and to source renewable electricity for its data centers, one of the...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts. Announced (counts=no).
tensorwave-fermi-matador-facility-222,it_capacity,,no,exact,,222 MW facility power,Facility power 222 MW announced; closing extended. Counts=no (announced).
vistra-comanche-peak-ppa,offtake_existing,,no,exact,,"1,200 MW",Desk: offtake_existing; MW held until contracted AWS figure. Counts=no. Vistra later names AWS. Contract date: no source. COD: no source.
xai-colossus-1,it_capacity,,yes,exact,,Colossus 1 Memphis Supercluster,Canonical Colossus 1 IT row. Desk: energized should be MLGW 150 (not 250). Duplicate MLGW row counts=no.
xai-colossus-1-power,btm_gen,,no,exact,unverified,no source,HOLD-leaning: 422 MW not verified on cited Tom's Hardware page. Counts=no until primary states the figure.
xai-colossus-2,it_capacity,,no,exact,conflict,about 200 MW of cooling at Colossus 2,"Colossus 2 conflict: 1,000 operational vs xai-colossus2-southaven-solaris 1,100 construction. Desk: both counts=no; energized empty."
xai-colossus-2-power-solaris,grid_gen_for_dc,,no,exact,unverified,no source,Stateline Power JV 900 MW gas supply to Colossus 2. Source blocked on factcheck; HOLD until re-verified. Counts=no.
xai-colossus-2-southaven-turbines,btm_gen,,no,exact,unverified,no source,Southaven turbine fleet 495 MW. Source blocked on factcheck; HOLD. Counts=no.
xai-colossus1-memphis-mlgw,it_capacity,,no,exact,duplicate,MLGW says 150 MW is energized at Paul Lowry,Duplicate Colossus 1 IT. Desk: one IT row; energized takes MLGW 150.
xai-colossus2-southaven-solaris,it_capacity,,no,exact,conflict,gigawatt-scale data center,"Colossus 2 conflict with xai-colossus-2 (1,000 operational vs 1,100 construction). Desk: both counts=no; energized empty."
xai-macrohard,unresolved,,no,exact,,no source,"unresolved. Software venture, no capacity. Macrohard stays unresolved (Energy GUY condition 9). counts=no."
